"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Zotu.1974","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_concisus"
"Zotu.1975","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio_exovorus"
"Zotu.1976","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Simkaniaceae","Candidatus_Rhabdochlamydia","Candidatus_Rhabdochlamydia_unclass"
"Zotu.1977","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","Defluviitaleaceae_UCG-011","Defluviitaleaceae_UCG-011_unclass"
"Zotu.1978","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera","Megasphaera_massiliensis"
"Zotu.1979","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus","Lysinibacillus_halotolerans"
"Zotu.1980","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus","Roseiflexus_unclass"
"Zotu.1981","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Taibaiella","Taibaiella_unclass"
"Zotu.1982","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","Patulibacter","Patulibacter_minatonensis"
"Zotu.1983","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","Arenimonas_unclass"
"Zotu.1984","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_mutans"
"Zotu.1985","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Wolinella","Wolinella_succinogenes"
"Zotu.1986","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Fulvimonas","Dyella_jiangningensis"
"Zotu.1987","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella","Nakamurella_unclass"
"Zotu.1988","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Shimazuella","Shimazuella_kribbensis"
"Zotu.1989","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium_composti"
"Zotu.1990","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium_saccharophilum"
"Zotu.1991","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclass","Lachnospiraceae_unclass"
"Zotu.1992","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclass","Ruminococcaceae_unclass"
"Zotu.1993","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia_albidiflava"
"Zotu.1994","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Asanoa","Asanoa_iriomotensis"
"Zotu.1995","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45","JG30-KF-CM45_fa","JG30-KF-CM45_ge","JG30-KF-CM45_ge_unclass"
"Zotu.1996","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Rhodopseudomonas","Rhodopseudomonas_pseudopalustris"
"Zotu.1997","Bacteria","Tenericutes","Mollicutes","Haloplasmatales","Haloplasmataceae","Haloplasma","Haloplasma_unclass"
